,,6Base_2 Avg:,-0.0333,-0.0329,-0.0203,BASELINE SUBTRACTED,,
Date & Time,Date,Time,PDIT705,PDIT706,PDIT707,PDIT705,PDIT706,PDIT707
12/14/2018 6:49:42.19,12/14/18,06:49:42:19,-0.045121,-0.10504,0.067693,,,
12/14/2018 6:49:42.38,12/14/18,06:49:42:38,-0.04482,-0.10504,0.067693,,,
12/14/2018 6:49:42.59,12/14/18,06:49:42:59,-0.04482,-0.10504,0.067693,,,
12/14/2018 6:49:42.67,12/14/18,06:49:42:67,-0.04497,-0.10504,0.067693,,,
12/14/2018 6:49:42.77,12/14/18,06:49:42:77,-0.04437,-0.10504,0.067653,,,
12/14/2018 6:49:42.97,12/14/18,06:49:42:97,-0.04467,-0.10504,0.067693,,,
12/14/2018 6:49:43.17,12/14/18,06:49:43:17,-0.04482,-0.10504,0.067653,,,
12/14/2018 6:49:43.36,12/14/18,06:49:43:36,-0.04482,-0.105,0.067693,,,
12/14/2018 6:49:43.65,12/14/18,06:49:43:65,-0.04482,-0.10504,0.067693,,,
12/14/2018 6:49:43.75,12/14/18,06:49:43:75,-0.04422,-0.10504,0.067693,,,
12/14/2018 6:49:43.84,12/14/18,06:49:43:84,-0.04467,-0.10504,0.067653,,,
12/14/2018 6:49:44.03,12/14/18,06:49:44:03,-0.04437,-0.10504,0.067613,,,
12/14/2018 6:49:44.23,12/14/18,06:49:44:23,-0.04437,-0.10504,0.067653,,,
12/14/2018 6:49:44.42,12/14/18,06:49:44:42,-0.04467,-0.105,0.067653,,,
12/14/2018 6:49:44.72,12/14/18,06:49:44:72,-0.04437,-0.10504,0.067613,,,
12/14/2018 6:49:44.81,12/14/18,06:49:44:81,-0.04452,-0.10504,0.067653,,,
12/14/2018 6:49:45.00,12/14/18,06:49:45:00,-0.04497,-0.10504,0.067693,,,
12/14/2018 6:49:45.20,12/14/18,06:49:45:20,-0.04467,-0.10504,0.067653,,,
12/14/2018 6:49:45.40,12/14/18,06:49:45:40,-0.045421,-0.10504,0.067693,,,
12/14/2018 6:49:45.59,12/14/18,06:49:45:59,-0.04422,-0.10504,0.067653,,,
12/14/2018 6:49:45.89,12/14/18,06:49:45:89,-0.04527,-0.10504,0.067693,,,
12/14/2018 6:49:45.98,12/14/18,06:49:45:98,-0.04422,-0.10504,0.067653,,,
12/14/2018 6:49:46.17,12/14/18,06:49:46:17,-0.04587,-0.10504,0.067693,,,
12/14/2018 6:49:46.35,12/14/18,06:49:46:35,-0.04467,-0.10504,0.067693,,,
12/14/2018 6:49:46.57,12/14/18,06:49:46:57,-0.04467,-0.10504,0.067653,,,
12/14/2018 6:49:46.76,12/14/18,06:49:46:76,-0.04527,-0.10504,0.067653,,,
12/14/2018 6:49:47.06,12/14/18,06:49:47:06,-0.04407,-0.10504,0.067653,,,
12/14/2018 6:49:47.15,12/14/18,06:49:47:15,-0.04422,-0.10504,0.067613,,,
12/14/2018 6:49:47.35,12/14/18,06:49:47:35,-0.04437,-0.10504,0.067653,,,
12/14/2018 6:49:47.44,12/14/18,06:49:47:44,-0.04407,-0.10504,0.067613,,,
12/14/2018 6:49:47.66,12/14/18,06:49:47:66,-0.04497,-0.10504,0.067653,,,
12/14/2018 6:49:47.85,12/14/18,06:49:47:85,-0.04482,-0.10504,0.067653,,,
12/14/2018 6:49:47.94,12/14/18,06:49:47:94,-0.04437,-0.10504,0.067613,,,
12/14/2018 6:49:48.24,12/14/18,06:49:48:24,-0.04527,-0.10504,0.067653,,,
